name,departament,age,gender,salary
Hill,Accounting,19,Male,1092
Amber,Business Development,21,Female,1665
Joya,Marketing,24,Female,1674
Myrilla,Marketing,25,Female,1317
Brendin,Legal,20,Male,1131
Amber,Product Management,15,Female,1927
Pietra,Training,19,Female,1517
Murdoch,Support,16,Male,1002
Willy,Engineering,17,Male,1849
Xylia,Research and Development,21,Female,1801
Pascal,Legal,18,Male,1597
Della,Training,23,Female,1337
Raina,Human Resources,17,Female,1990
Austen,Product Management,21,Male,1732
Daveta,Business Development,24,Female,1139
Kikelia,Support,16,Female,1739
Christie,Human Resources,19,Male,1056
Gualterio,Engineering,24,Male,1426
Bevin,Sales,15,Male,1286
Marigold,Sales,16,Female,1663
Galen,Sales,20,Male,1660
Perry,Support,17,Male,1237
Clemmie,Product Management,20,Female,1562
Gannie,Accounting,16,Male,1778
Silvano,Research and Development,22,Male,1625
Jessa,Human Resources,23,Female,1718
Kermy,Legal,23,Male,1303
Madeleine,Training,25,Female,1822
Koressa,Legal,21,Female,1694
Carlyle,Product Management,21,Male,1101
Cornie,Business Development,24,Male,1037
Norry,Human Resources,23,Female,1678
Aldridge,Business Development,24,Bigender,1012
Cathy,Support,16,Female,1278
Cristabel,Services,21,Female,1638
Zane,Training,16,Male,1309
Rona,Sales,15,Female,1941
Benedicto,Training,15,Male,1649
Skell,Support,17,Male,1043
Dacey,Training,20,Female,1510
Gawain,Sales,18,Male,1956
Gail,Training,16,Female,1069
Stillmann,Marketing,20,Male,1039
Baxy,Training,24,Male,1604
Devland,Research and Development,17,Male,1957
Jamesy,Human Resources,15,Male,1113
Jens,Sales,23,Male,1456
Lorne,Research and Development,24,Agender,1557
Trent,Services,15,Male,1766
Walton,Product Management,23,Male,1554
Paco,Training,22,Male,1202
Virginie,Support,20,Female,1234
Anjanette,Sales,23,Female,1069
Mycah,Support,19,Non-binary,1180
Griffy,Services,25,Male,1985
Lorin,Research and Development,23,Male,1982
Tye,Support,23,Genderqueer,1588
Demetris,Training,17,Male,1138
Ario,Accounting,25,Male,1437
Willi,Support,22,Female,1518
Cicely,Accounting,18,Female,1497
Izzy,Engineering,17,Male,1225
Gerhardt,Support,23,Male,1401
Verne,Accounting,19,Male,1198
Osbert,Services,25,Male,1533
Luciano,Sales,15,Male,1076
Dela,Business Development,23,Female,1055
Obadiah,Accounting,19,Male,1224
Creigh,Engineering,15,Male,1965
Vivyanne,Business Development,22,Female,1292
Keary,Accounting,22,Male,1594
Ferdinande,Human Resources,23,Female,1711
Dave,Product Management,20,Male,1631
Beverley,Product Management,22,Female,1885
Gerrie,Training,24,Male,1619
Rufus,Sales,20,Male,1771
Angeline,Services,19,Female,1738
Rodrique,Sales,25,Male,1928
Garfield,Product Management,15,Male,1900
Colly,Human Resources,18,Female,1280
Fernandina,Services,25,Genderqueer,1854
Jarad,Business Development,24,Male,1280
Pierson,Legal,25,Male,1916
Arny,Marketing,22,Male,1038
Dorise,Accounting,22,Female,1596
Kory,Sales,17,Male,1045
Edvard,Engineering,24,Male,1135
Chrysa,Training,18,Agender,1728
Sholom,Business Development,21,Male,1210
Denys,Business Development,17,Male,1340
Lowell,Research and Development,18,Male,1226
Odie,Engineering,20,Male,1651
Rickey,Sales,22,Male,1818
Sergei,Business Development,25,Male,1856
Arnoldo,Accounting,17,Male,1542
Fedora,Sales,17,Bigender,1579
Gabey,Engineering,19,Female,1732
Gussy,Accounting,25,Female,1178
Hastie,Marketing,21,Male,1932
Lissie,Business Development,19,Female,1308
